task_id	episode_idx	outcome	media	bytes	sha256
BDRAIN_001	0	success	assets/bowl_drainer_any5/videos/BDRAIN_001/BDRAIN_001_ep000_ok.mp4	166022	9b888422547f155fd49a198f9e31327b3dae31f3d565fb5476afdf2b24ab0fff
BDRAIN_001	1	failure	assets/bowl_drainer_any5/videos/BDRAIN_001/BDRAIN_001_ep001_fail.mp4	351209	e47f9fdee274b63619e2468a91c7861368ecfaf197000d6c500720a1a1e215a5
BDRAIN_001	2	success	assets/bowl_drainer_any5/videos/BDRAIN_001/BDRAIN_001_ep002_ok.mp4	171582	1aa564dcef4ab0d7bb623cf8f9544a4c7b90f1c4da0895593e3315410cc223bb
BDRAIN_001	3	success	assets/bowl_drainer_any5/videos/BDRAIN_001/BDRAIN_001_ep003_ok.mp4	170774	2a9bdf9ac9e80687769a0e04a91718b237af2d85bc920aaaf3062492b31ee6af
BDRAIN_001	4	success	assets/bowl_drainer_any5/videos/BDRAIN_001/BDRAIN_001_ep004_ok.mp4	162333	1a1905b014085bd03a04faddb81fbbbbaa41a92ae8adc6d728d504de448e7b5c
BDRAIN_002	0	failure	assets/bowl_drainer_any5/videos/BDRAIN_002/BDRAIN_002_ep000_fail.mp4	353672	f5c693638de2370b277d237a8d9d6c8141b7d699875f3436f087acc50a673ac8
BDRAIN_002	1	success	assets/bowl_drainer_any5/videos/BDRAIN_002/BDRAIN_002_ep001_ok.mp4	169984	eedaf937f28b1366d634f98fea4fe7b8c7139864546f6a0280024f4b80656b3f
BDRAIN_002	2	success	assets/bowl_drainer_any5/videos/BDRAIN_002/BDRAIN_002_ep002_ok.mp4	179242	fd640e45b7dd5f322b2431f4eee73c44f37bbfcd43fe5210abe5c8912c1c3925
BDRAIN_002	3	success	assets/bowl_drainer_any5/videos/BDRAIN_002/BDRAIN_002_ep003_ok.mp4	195520	18bb9f823b12a43d6983a0d083102f799f566b0438484f7fda0082ad41eca6f8
BDRAIN_002	4	failure	assets/bowl_drainer_any5/videos/BDRAIN_002/BDRAIN_002_ep004_fail.mp4	357564	4634b965e16e4619361af5ed91447a6b2450e41fdad6d0b186a9a186e79fa76b
BDRAIN_003	0	failure	assets/bowl_drainer_any5/videos/BDRAIN_003/BDRAIN_003_ep000_fail.mp4	383857	61340c333b27d4263ca1547dc596ead11c480640e7b8d8fb27ffda65cdcf09dc
BDRAIN_003	1	success	assets/bowl_drainer_any5/videos/BDRAIN_003/BDRAIN_003_ep001_ok.mp4	358545	11a363b127ef58a7930caca284a906e9513aa1eab241a8df20059aef4cc7e8b1
BDRAIN_003	2	success	assets/bowl_drainer_any5/videos/BDRAIN_003/BDRAIN_003_ep002_ok.mp4	178860	2a6fd0451d5534ff4acc12e63aab969dfc065063b97949f0aec0b75b77947612
BDRAIN_003	3	failure	assets/bowl_drainer_any5/videos/BDRAIN_003/BDRAIN_003_ep003_fail.mp4	378385	334bea74f1ba2ab0c86b1a24efcc601c0bf830ea047de37eabbfe87d4914eb89
BDRAIN_003	4	success	assets/bowl_drainer_any5/videos/BDRAIN_003/BDRAIN_003_ep004_ok.mp4	183837	d07e8b3e9a802012fa9b580d9473340efaf8485c3a4e2d3abb0a01008c457fec
BDRAIN_004	0	failure	assets/bowl_drainer_any5/videos/BDRAIN_004/BDRAIN_004_ep000_fail.mp4	327264	80e344c241f56c046e1cc4b35d1bb80d4a499ede5bf4e1f76cbaad41d4d87b07
BDRAIN_004	1	success	assets/bowl_drainer_any5/videos/BDRAIN_004/BDRAIN_004_ep001_ok.mp4	183346	0009a8612d817926224f0a27e95ef4c314a4e4f516875ca451593effa02900dd
BDRAIN_004	2	success	assets/bowl_drainer_any5/videos/BDRAIN_004/BDRAIN_004_ep002_ok.mp4	169989	5f226261337289292f9da469b0ffdc42888367f38dc332f9bfa644f0343bdf5c
BDRAIN_004	3	failure	assets/bowl_drainer_any5/videos/BDRAIN_004/BDRAIN_004_ep003_fail.mp4	339400	98f76a95efeda1e00ff19f612001dc04af7694e49a9dd5dbab7840c3664982bc
BDRAIN_004	4	success	assets/bowl_drainer_any5/videos/BDRAIN_004/BDRAIN_004_ep004_ok.mp4	174449	3b48b0161806a40d81d79892ba7c68b1358b6a6570b0859b02cc043cc256eb85
BDRAIN_005	0	success	assets/bowl_drainer_any5/videos/BDRAIN_005/BDRAIN_005_ep000_ok.mp4	177748	97fb828907e963943191eeb4c738ba2f8e4cc399f72c7be9f1a8af1f7ba025c9
BDRAIN_005	1	failure	assets/bowl_drainer_any5/videos/BDRAIN_005/BDRAIN_005_ep001_fail.mp4	351678	58b6fcebb90f28ab2c80c6a688d0aa1327b451ed18d73d01e9814e38cdcd8ff3
BDRAIN_005	2	success	assets/bowl_drainer_any5/videos/BDRAIN_005/BDRAIN_005_ep002_ok.mp4	178212	2d01e368eb9bdf4311cb341344ca4a70e723a2eed7a6d395af4d48772e833a89
BDRAIN_005	3	failure	assets/bowl_drainer_any5/videos/BDRAIN_005/BDRAIN_005_ep003_fail.mp4	346897	db132e4b0755989aa7b178de1260e85aaf87d26944f122ec92b5f4e382fbd3ce
BDRAIN_005	4	success	assets/bowl_drainer_any5/videos/BDRAIN_005/BDRAIN_005_ep004_ok.mp4	179761	3d22d4d4878ed061d18e04d30aadafbfa0fd8b1927a1b17c2b507935e9512b83
