task_id	episode_idx	native_success	final_drainer_contact	final_floor_contact	termination_reason	total_steps	selected_native_first_true_step	ended_at_first_selected_native_true	target_world_position_m	final_contacts	settled_placement_validated	settled_placement_status
BDRSIDE_001	0	True	False	False	env_success	161	161	True	[-0.030260616509220645, 0.2468781965608238, 0.12764246252471206]	[]	False	not measured; no post-success settling rollout
BDRSIDE_001	1	True	False	False	env_success	160	160	True	[0.01251569052916812, 0.26618575145109874, 0.098426853566657]	[]	False	not measured; no post-success settling rollout
BDRSIDE_001	2	True	False	False	env_success	167	167	True	[-0.004613119137205518, 0.2635640884937999, 0.11692623949219481]	[]	False	not measured; no post-success settling rollout
BDRSIDE_001	3	False	False	True		520		False	[-0.056524713063863516, 0.023751674162638275, 0.03839291037244392]	"[{""other_geom_id"": 6, ""other_geom_name"": ""floor"", ""drainer"": false, ""floor"": true, ""distance_m"": -3.2572721253218417e-06}, {""other_geom_id"": 6, ""other_geom_name"": ""floor"", ""drainer"": false, ""floor"": true, ""distance_m"": -1.2457362317898346e-05}, {""other_geom_id"": 6, ""other_geom_name"": ""floor"", ""drainer"": false, ""floor"": true, ""distance_m"": -2.0918335901655427e-05}, {""other_geom_id"": 6, ""other_geom_name"": ""floor"", ""drainer"": false, ""floor"": true, ""distance_m"": -1.0513183833792128e-05}, {""other_geom_id"": 6, ""other_geom_name"": ""floor"", ""drainer"": false, ""floor"": true, ""distance_m"": -4.237616464050631e-07}, {""other_geom_id"": 6, ""other_geom_name"": ""floor"", ""drainer"": false, ""floor"": true, ""distance_m"": -1.0519109480314204e-05}]"	False	not measured; no post-success settling rollout
BDRSIDE_001	4	True	False	False	env_success	172	172	True	[-0.00953152463905693, 0.2615863430176672, 0.13022848668162298]	[]	False	not measured; no post-success settling rollout
BDRSIDE_002	0	True	False	False	env_success	194	194	True	[-0.0228296544104266, 0.28142464094454056, 0.07219350533766059]	[]	False	not measured; no post-success settling rollout
BDRSIDE_002	1	True	False	False	env_success	189	189	True	[-0.0049408537466995445, 0.27656831683830674, 0.12720792577712717]	[]	False	not measured; no post-success settling rollout
BDRSIDE_002	2	True	False	False	env_success	195	195	True	[-0.018002369070762324, 0.2601587809597027, 0.11468639990039356]	[]	False	not measured; no post-success settling rollout
BDRSIDE_002	3	True	False	False	env_success	164	164	True	[-0.0104699627257069, 0.2616635013214906, 0.1038771386127458]	[]	False	not measured; no post-success settling rollout
BDRSIDE_002	4	True	False	False	env_success	162	162	True	[-0.018639042876034188, 0.2785399452435278, 0.10705132970285172]	[]	False	not measured; no post-success settling rollout
BDRSIDE_003	0	True	False	False	env_success	186	186	True	[0.024174993584185803, 0.23671286660171503, 0.0821526508605025]	[]	False	not measured; no post-success settling rollout
BDRSIDE_003	1	True	False	False	env_success	151	151	True	[0.01504646810902476, 0.23941447763881885, 0.11481498495644034]	[]	False	not measured; no post-success settling rollout
BDRSIDE_003	2	True	False	False	env_success	155	155	True	[0.022343142522652168, 0.23844499407068626, 0.10400206970652763]	[]	False	not measured; no post-success settling rollout
BDRSIDE_003	3	True	False	False	env_success	149	149	True	[0.009516213124208242, 0.23686619429925346, 0.10911728427835432]	[]	False	not measured; no post-success settling rollout
BDRSIDE_003	4	True	False	False	env_success	159	159	True	[0.02495968474817055, 0.23618587691245269, 0.11681319015070149]	[]	False	not measured; no post-success settling rollout
BDRSIDE_004	0	True	False	False	env_success	152	152	True	[0.0033589502598804846, 0.2810544652959028, 0.12541771605510393]	[]	False	not measured; no post-success settling rollout
BDRSIDE_004	1	True	False	False	env_success	154	154	True	[0.006949722841437183, 0.2789719061366501, 0.11841834055279682]	[]	False	not measured; no post-success settling rollout
BDRSIDE_004	2	True	False	False	env_success	148	148	True	[0.008341601816888486, 0.27724245635228634, 0.1140846333925145]	[]	False	not measured; no post-success settling rollout
BDRSIDE_004	3	True	False	False	env_success	155	155	True	[0.0010592830044344793, 0.28081321233453305, 0.1294512565800736]	[]	False	not measured; no post-success settling rollout
BDRSIDE_004	4	True	False	False	env_success	153	153	True	[-0.0072772316872598145, 0.285769201656893, 0.12222993781550798]	[]	False	not measured; no post-success settling rollout
BDRSIDE_005	0	True	False	False	env_success	149	149	True	[0.0012773692198947372, 0.2629123350252394, 0.09244160041189373]	[]	False	not measured; no post-success settling rollout
BDRSIDE_005	1	True	False	False	env_success	170	170	True	[0.015996343852985262, 0.26177553526086056, 0.10167676275274304]	[]	False	not measured; no post-success settling rollout
BDRSIDE_005	2	True	False	False	env_success	179	179	True	[0.01697785589035835, 0.2600251974582947, 0.11811977599072561]	[]	False	not measured; no post-success settling rollout
BDRSIDE_005	3	True	False	False	env_success	148	148	True	[0.00835677045951768, 0.261944372221924, 0.09296398604632432]	[]	False	not measured; no post-success settling rollout
BDRSIDE_005	4	True	False	False	env_success	166	166	True	[0.015118613240409286, 0.24607635974406944, 0.11894008538350767]	[]	False	not measured; no post-success settling rollout
BDRSIDE_006	0	True	False	False	env_success	153	153	True	[0.009654462980372844, 0.2729781853982962, 0.08478891699596612]	[]	False	not measured; no post-success settling rollout
BDRSIDE_006	1	True	False	False	env_success	184	184	True	[-0.0028276258296328132, 0.26410324936636187, 0.10033749930241632]	[]	False	not measured; no post-success settling rollout
BDRSIDE_006	2	True	False	False	env_success	198	198	True	[-0.011570956549581181, 0.2690096219637904, 0.11232040420814396]	[]	False	not measured; no post-success settling rollout
BDRSIDE_006	3	True	False	False	env_success	185	185	True	[0.003949410611278564, 0.26870879737050973, 0.09556620260792358]	[]	False	not measured; no post-success settling rollout
BDRSIDE_006	4	True	False	False	env_success	153	153	True	[0.00438367792187057, 0.27014628408901026, 0.0769086975945963]	[]	False	not measured; no post-success settling rollout
BDRSIDE_007	0	True	False	False	env_success	169	169	True	[0.00534768014260721, 0.23132584754709964, 0.08673837028938008]	[]	False	not measured; no post-success settling rollout
BDRSIDE_007	1	True	False	False	env_success	178	178	True	[0.023635767217002727, 0.23351744292667576, 0.11876142677964402]	[]	False	not measured; no post-success settling rollout
BDRSIDE_007	2	True	False	False	env_success	171	171	True	[0.005279747468312593, 0.233925689521426, 0.09216708796786958]	[]	False	not measured; no post-success settling rollout
BDRSIDE_007	3	True	False	False	env_success	185	185	True	[0.014318854745876916, 0.23041001324589047, 0.11920899496215126]	[]	False	not measured; no post-success settling rollout
BDRSIDE_007	4	True	False	False	env_success	169	169	True	[0.011030977174077522, 0.23933394152124232, 0.1285498076779581]	[]	False	not measured; no post-success settling rollout
BDRSIDE_008	0	True	False	False	env_success	214	214	True	[0.013173188920700466, 0.2944221557523293, 0.1305955734857652]	[]	False	not measured; no post-success settling rollout
BDRSIDE_008	1	True	False	False	env_success	203	203	True	[0.0063538656508649385, 0.29194116257031394, 0.12210472925135048]	[]	False	not measured; no post-success settling rollout
BDRSIDE_008	2	True	False	False	env_success	178	178	True	[0.021698487327924763, 0.2896300122225107, 0.09979980430069904]	[]	False	not measured; no post-success settling rollout
BDRSIDE_008	3	True	False	False	env_success	177	177	True	[-0.017022198034547777, 0.2939570830667434, 0.13155026123021682]	[]	False	not measured; no post-success settling rollout
BDRSIDE_008	4	True	False	False	env_success	252	252	True	[0.0046063839862554214, 0.2939670820760172, 0.1298921816451367]	[]	False	not measured; no post-success settling rollout
BDRSIDE_009	0	True	False	False	env_success	169	169	True	[0.012991283970464026, 0.2451783498580759, 0.10657404750235504]	[]	False	not measured; no post-success settling rollout
BDRSIDE_009	1	True	False	False	env_success	160	160	True	[0.012747605009085661, 0.23864861834807813, 0.12929998539493545]	[]	False	not measured; no post-success settling rollout
BDRSIDE_009	2	True	False	False	env_success	171	171	True	[0.00824478187437693, 0.23947500299383456, 0.12403982870998244]	[]	False	not measured; no post-success settling rollout
BDRSIDE_009	3	True	False	False	env_success	168	168	True	[0.007819054791220156, 0.2445918186710795, 0.08428121454241184]	[]	False	not measured; no post-success settling rollout
BDRSIDE_009	4	True	False	False	env_success	167	167	True	[0.016510122581400492, 0.24828195239369402, 0.0827247498087117]	[]	False	not measured; no post-success settling rollout
BDRSIDE_010	0	True	False	False	env_success	168	168	True	[0.01593819672886164, 0.2792668197317631, 0.10134207667691025]	[]	False	not measured; no post-success settling rollout
BDRSIDE_010	1	True	False	False	env_success	172	172	True	[0.004089565222206449, 0.2840884346171086, 0.08641774661027474]	[]	False	not measured; no post-success settling rollout
BDRSIDE_010	2	True	False	False	env_success	176	176	True	[0.01602070271996038, 0.2861251769360538, 0.08716932474312979]	[]	False	not measured; no post-success settling rollout
BDRSIDE_010	3	True	False	False	env_success	177	177	True	[0.0064898916523027156, 0.28246744505506477, 0.09113488536762017]	[]	False	not measured; no post-success settling rollout
BDRSIDE_010	4	True	False	False	env_success	168	168	True	[0.011192323902424885, 0.283446764177452, 0.07881053478691348]	[]	False	not measured; no post-success settling rollout
