task_id	episodes	source_video_count	reel	bytes
COMP2_001	0,3	2	assets/compose_selected/success_reels/COMP2_001.mp4	524492
COMP2_012	0,1,2,3,4	5	assets/compose_selected/success_reels/COMP2_012.mp4	1787289
COMPOSE_335	0,1,2,4	4	assets/compose_selected/success_reels/COMPOSE_335.mp4	849441
COMPOSE_155	0,3	2	assets/compose_selected/success_reels/COMPOSE_155.mp4	709035
COMPOSE_346	2	1	assets/compose_selected/success_reels/COMPOSE_346.mp4	366371
COMP_223	0,1,3	3	assets/compose_selected/success_reels/COMP_223.mp4	1309675
COMP_205	3	1	assets/compose_selected/success_reels/COMP_205.mp4	448134
COMP_209	4	1	assets/compose_selected/success_reels/COMP_209.mp4	394254
COMP_213	4	1	assets/compose_selected/success_reels/COMP_213.mp4	419451
COMP2_008	1,3,4	3	assets/compose_selected/success_reels/COMP2_008.mp4	730917
COMP2_005	2,3	2	assets/compose_selected/success_reels/COMP2_005.mp4	467740
COMP2_188	3	1	assets/compose_selected/success_reels/COMP2_188.mp4	372743
COMP2_018	3	1	assets/compose_selected/success_reels/COMP2_018.mp4	453148
COMP2_023	2	1	assets/compose_selected/success_reels/COMP2_023.mp4	499049
COMP2_027	3	1	assets/compose_selected/success_reels/COMP2_027.mp4	260717
COMP2_028	4	1	assets/compose_selected/success_reels/COMP2_028.mp4	414391
COMP2_011	0	1	assets/compose_selected/success_reels/COMP2_011.mp4	514950
COMP2_014	0	1	assets/compose_selected/success_reels/COMP2_014.mp4	431350
COMP2_222	2	1	assets/compose_selected/success_reels/COMP2_222.mp4	415330
COMP2_260	2	1	assets/compose_selected/success_reels/COMP2_260.mp4	547879
