task_id	episode_idx	success	initial_goal_satisfied
DSET_001	0	True	False
DSET_001	1	True	False
DSET_001	2	True	False
DSET_001	3	True	False
DSET_001	4	True	False
DSET_002	0	True	False
DSET_002	1	True	False
DSET_002	2	True	False
DSET_002	3	True	False
DSET_002	4	True	False
DSET_003	0	False	False
DSET_003	1	True	False
DSET_003	2	True	False
DSET_003	3	True	False
DSET_003	4	True	False
DSET_004	0	True	False
DSET_004	1	True	False
DSET_004	2	True	False
DSET_004	3	True	False
DSET_004	4	True	False
DSET_005	0	False	False
DSET_005	1	False	False
DSET_005	2	False	False
DSET_005	3	False	False
DSET_005	4	True	False
