task_id	episode_idx	outcome	media	bytes	sha256
DSET_001	0	success	assets/dining_set_dishware5/videos/DSET_001/DSET_001_ep000_ok.mp4	111155	0a39c7ddd515fab3f23691456d4b5c5659901404cc1f5a11fc8d2f17179f00da
DSET_001	1	success	assets/dining_set_dishware5/videos/DSET_001/DSET_001_ep001_ok.mp4	115462	b5af8906e48f314a3d9c77ffa5aa4aa1f49706779b842fad25656e18a5f8184b
DSET_001	2	success	assets/dining_set_dishware5/videos/DSET_001/DSET_001_ep002_ok.mp4	111215	677c17a35d72b9cae6f7a16732ba8bbdb88de46d01833ce950b6f899af62357a
DSET_001	3	success	assets/dining_set_dishware5/videos/DSET_001/DSET_001_ep003_ok.mp4	113579	6845bdb250495b4e417a165ae0524d13b067763d7b64b431f49b6f4ad5c2fb88
DSET_001	4	success	assets/dining_set_dishware5/videos/DSET_001/DSET_001_ep004_ok.mp4	105844	b7c01a4d1f459b250cff15006146f9f5b948e93d3bbdd00ed7a9fe14ab531044
DSET_002	0	success	assets/dining_set_dishware5/videos/DSET_002/DSET_002_ep000_ok.mp4	112330	0890b38fe887ecabd6d58cb80ba5dc8717cbb5d41f701faa3402cb562c8b2428
DSET_002	1	success	assets/dining_set_dishware5/videos/DSET_002/DSET_002_ep001_ok.mp4	115620	77dca50ca2ea2411449147279d25bc011ee1c9cae60856eef657d62e6975931a
DSET_002	2	success	assets/dining_set_dishware5/videos/DSET_002/DSET_002_ep002_ok.mp4	104029	8a12cd86b850a708b2dee5cbe446ce9699ecba7fe54bcea1bb81d4688f74d28c
DSET_002	3	success	assets/dining_set_dishware5/videos/DSET_002/DSET_002_ep003_ok.mp4	108499	de4a25c2969c29f108ce14e76e6832f22621b55cea28c7fef56ca0cd6dcc04e0
DSET_002	4	success	assets/dining_set_dishware5/videos/DSET_002/DSET_002_ep004_ok.mp4	110431	46b697cb8e86ee78923c5e5a7c63edbf9b2967e41d785f1fb4adabeead35132a
DSET_003	0	failure	assets/dining_set_dishware5/videos/DSET_003/DSET_003_ep000_fail.mp4	299931	e38c420c2b09f1a10f5e5f057e9b0d6fc31609e7c0a78e6387958e6fdca119b7
DSET_003	1	success	assets/dining_set_dishware5/videos/DSET_003/DSET_003_ep001_ok.mp4	112981	d8060b70467e3437c6b1531fbbcb32ce64dbc093db8e5e7829f45af338491829
DSET_003	2	success	assets/dining_set_dishware5/videos/DSET_003/DSET_003_ep002_ok.mp4	114550	38d817af401f4527b590c9059308fa36391e936a7ee4f678d919c143caddfd68
DSET_003	3	success	assets/dining_set_dishware5/videos/DSET_003/DSET_003_ep003_ok.mp4	115781	a41e4f006b40838e134b6702494a3f7eaf3d113404d67f9cd9bcf964ccdf887c
DSET_003	4	success	assets/dining_set_dishware5/videos/DSET_003/DSET_003_ep004_ok.mp4	108034	447ff9bfc0d26daa166769e30852c3700aff49bdf9503b4a334e1bee2376457e
DSET_004	0	success	assets/dining_set_dishware5/videos/DSET_004/DSET_004_ep000_ok.mp4	113903	65fe8e05f8eb5278a61c11ce7ec5dd891204a14bd1ef2dad06abead990c371ab
DSET_004	1	success	assets/dining_set_dishware5/videos/DSET_004/DSET_004_ep001_ok.mp4	104752	d17196e311d24246fe7f1c60526e6428992f29357633ca9ed6b679633216f187
DSET_004	2	success	assets/dining_set_dishware5/videos/DSET_004/DSET_004_ep002_ok.mp4	118767	9c332cd843102fa2d8a1ed14cc9632ef29a348b127557b614d38c589ef517d31
DSET_004	3	success	assets/dining_set_dishware5/videos/DSET_004/DSET_004_ep003_ok.mp4	113542	603f8f5c97b48a832c8edbd064381c69de14571508380f69752fc9f85129cb54
DSET_004	4	success	assets/dining_set_dishware5/videos/DSET_004/DSET_004_ep004_ok.mp4	113523	8eb99367620be60a184ea925cffcba2b6f7946954276e109f38e1425b146872f
DSET_005	0	failure	assets/dining_set_dishware5/videos/DSET_005/DSET_005_ep000_fail.mp4	279391	436411dba24153535745d34bb463f2256e1902a296eb35de66d1fca77a27ead1
DSET_005	1	failure	assets/dining_set_dishware5/videos/DSET_005/DSET_005_ep001_fail.mp4	322364	3ac044969ffb98c8fecee4808449dd66b6b5863820ca66694c1fa95b45f735d5
DSET_005	2	failure	assets/dining_set_dishware5/videos/DSET_005/DSET_005_ep002_fail.mp4	339298	82d065b3f1391ede20f7bd7800e83dcfefeaa77a786f180136de4fc1dc7b03de
DSET_005	3	failure	assets/dining_set_dishware5/videos/DSET_005/DSET_005_ep003_fail.mp4	326792	2b8cfd70cd82ed14441135b6da9408d23f1a3dea6368f96c6fe2b4286ea4339d
DSET_005	4	success	assets/dining_set_dishware5/videos/DSET_005/DSET_005_ep004_ok.mp4	99877	9f0f50b5366a93a392b827535f3838242bc231e83becf228e4d776e45e033931
