task_id	episode_idx	success	initial_goal_satisfied
NADAPT_001	0	False	False
NADAPT_001	1	False	False
NADAPT_001	2	False	False
NADAPT_001	3	False	False
NADAPT_001	4	False	False
NADAPT_002	0	False	False
NADAPT_002	1	False	False
NADAPT_002	2	False	False
NADAPT_002	3	False	False
NADAPT_002	4	False	False
NADAPT_003	0	False	False
NADAPT_003	1	False	False
NADAPT_003	2	False	False
NADAPT_003	3	False	False
NADAPT_003	4	False	False
NADAPT_004	0	False	False
NADAPT_004	1	False	False
NADAPT_004	2	False	False
NADAPT_004	3	False	False
NADAPT_004	4	False	False
NADAPT_005	0	False	False
NADAPT_005	1	False	False
NADAPT_005	2	False	False
NADAPT_005	3	False	False
NADAPT_005	4	False	False
NADAPT_006	0	False	False
NADAPT_006	1	False	False
NADAPT_006	2	False	False
NADAPT_006	3	False	False
NADAPT_006	4	False	False
NADAPT_007	0	False	False
NADAPT_007	1	False	False
NADAPT_007	2	False	False
NADAPT_007	3	False	False
NADAPT_007	4	False	False
NADAPT_008	0	False	False
NADAPT_008	1	False	False
NADAPT_008	2	False	False
NADAPT_008	3	False	False
NADAPT_008	4	False	False
NADAPT_009	0	False	False
NADAPT_009	1	False	False
NADAPT_009	2	False	False
NADAPT_009	3	False	False
NADAPT_009	4	False	False
NADAPT_010	0	False	False
NADAPT_010	1	False	False
NADAPT_010	2	False	False
NADAPT_010	3	False	False
NADAPT_010	4	False	False
NADAPT_011	0	False	False
NADAPT_011	1	False	False
NADAPT_011	2	False	False
NADAPT_011	3	False	False
NADAPT_011	4	False	False
NADAPT_012	0	False	False
NADAPT_012	1	False	False
NADAPT_012	2	False	False
NADAPT_012	3	False	False
NADAPT_012	4	False	False
NADAPT_013	0	False	False
NADAPT_013	1	False	False
NADAPT_013	2	False	False
NADAPT_013	3	False	False
NADAPT_013	4	False	False
NADAPT_014	0	False	False
NADAPT_014	1	False	False
NADAPT_014	2	False	False
NADAPT_014	3	False	False
NADAPT_014	4	False	False
NADAPT_015	0	True	False
NADAPT_015	1	False	False
NADAPT_015	2	False	False
NADAPT_015	3	True	False
NADAPT_015	4	False	False
NADAPT_016	0	False	False
NADAPT_016	1	False	False
NADAPT_016	2	False	False
NADAPT_016	3	False	False
NADAPT_016	4	False	False
NADAPT_017	0	False	False
NADAPT_017	1	False	False
NADAPT_017	2	False	False
NADAPT_017	3	False	False
NADAPT_017	4	False	False
NADAPT_018	0	False	False
NADAPT_018	1	False	False
NADAPT_018	2	False	False
NADAPT_018	3	False	False
NADAPT_018	4	False	False
NADAPT_019	0	False	False
NADAPT_019	1	False	False
NADAPT_019	2	False	False
NADAPT_019	3	False	False
NADAPT_019	4	False	False
NADAPT_020	0	False	False
NADAPT_020	1	False	False
NADAPT_020	2	False	False
NADAPT_020	3	False	False
NADAPT_020	4	False	False
NADAPT_021	0	False	False
NADAPT_021	1	False	False
NADAPT_021	2	False	False
NADAPT_021	3	False	False
NADAPT_021	4	False	False
NADAPT_022	0	False	False
NADAPT_022	1	False	False
NADAPT_022	2	False	False
NADAPT_022	3	False	False
NADAPT_022	4	False	False
NADAPT_023	0	False	False
NADAPT_023	1	False	False
NADAPT_023	2	False	False
NADAPT_023	3	False	False
NADAPT_023	4	False	False
NADAPT_024	0	False	False
NADAPT_024	1	False	False
NADAPT_024	2	False	False
NADAPT_024	3	False	False
NADAPT_024	4	False	False
NADAPT_025	0	False	False
NADAPT_025	1	False	False
NADAPT_025	2	False	False
NADAPT_025	3	False	False
NADAPT_025	4	False	False
NADAPT_026	0	False	False
NADAPT_026	1	False	False
NADAPT_026	2	False	False
NADAPT_026	3	False	False
NADAPT_026	4	False	False
NADAPT_027	0	True	False
NADAPT_027	1	True	False
NADAPT_027	2	True	False
NADAPT_027	3	True	False
NADAPT_027	4	False	False
NADAPT_028	0	False	False
NADAPT_028	1	False	False
NADAPT_028	2	False	False
NADAPT_028	3	False	False
NADAPT_028	4	False	False
NADAPT_029	0	False	False
NADAPT_029	1	False	False
NADAPT_029	2	False	False
NADAPT_029	3	False	False
NADAPT_029	4	False	False
NADAPT_030	0	False	False
NADAPT_030	1	False	False
NADAPT_030	2	False	False
NADAPT_030	3	False	False
NADAPT_030	4	False	False
NADAPT_031	0	False	False
NADAPT_031	1	False	False
NADAPT_031	2	False	False
NADAPT_031	3	False	False
NADAPT_031	4	False	False
NADAPT_032	0	False	False
NADAPT_032	1	False	False
NADAPT_032	2	False	False
NADAPT_032	3	False	False
NADAPT_032	4	False	False
NADAPT_033	0	False	False
NADAPT_033	1	False	False
NADAPT_033	2	False	False
NADAPT_033	3	False	False
NADAPT_033	4	False	False
NADAPT_034	0	False	False
NADAPT_034	1	False	False
NADAPT_034	2	False	False
NADAPT_034	3	False	False
NADAPT_034	4	False	False
NADAPT_035	0	False	False
NADAPT_035	1	False	False
NADAPT_035	2	False	False
NADAPT_035	3	False	False
NADAPT_035	4	False	False
NADAPT_036	0	False	False
NADAPT_036	1	False	False
NADAPT_036	2	False	False
NADAPT_036	3	False	False
NADAPT_036	4	False	False
