task_id	episode_idx	outcome	media	bytes	sha256
DSETRP_001	0	failure	assets/dset_wooden_tray7/videos/DSETRP_001/DSETRP_001_ep000_fail.mp4	291320	c6d25047a2e0d461ea8450dee47a54f2d96a08ddaa84fb449bea2dd69ad47ad7
DSETRP_001	1	failure	assets/dset_wooden_tray7/videos/DSETRP_001/DSETRP_001_ep001_fail.mp4	306058	bf4bdfa1d4e26c9bdb4c8d40302d36d374d9762c6bd2d0d6247e340e0987a61d
DSETRP_001	2	failure	assets/dset_wooden_tray7/videos/DSETRP_001/DSETRP_001_ep002_fail.mp4	305332	131e822310037a2a7af3fd8b6d970c4688571f27320a1537eb167f2ae5b02afa
DSETRP_001	3	failure	assets/dset_wooden_tray7/videos/DSETRP_001/DSETRP_001_ep003_fail.mp4	319717	1c93726c0868cc3baaf159481a37d63cb419beb388087e706108fddb014dbbca
DSETRP_001	4	failure	assets/dset_wooden_tray7/videos/DSETRP_001/DSETRP_001_ep004_fail.mp4	314328	314485827888f4e0e03d81d5948f8ab7d15badd286a959baf109276b3a73f99d
WTRAYR_001	0	failure	assets/dset_wooden_tray7/videos/WTRAYR_001/WTRAYR_001_ep000_fail.mp4	192773	f59d00ec1640fb4d279e30f7c15dbdc594cac839628c659dae937338eb1ac1e1
WTRAYR_001	1	failure	assets/dset_wooden_tray7/videos/WTRAYR_001/WTRAYR_001_ep001_fail.mp4	348837	5c5a8ac07d77d2ee6fb2d006dae0dcffae4260d1abc241105b756eb2b05217e6
WTRAYR_001	2	failure	assets/dset_wooden_tray7/videos/WTRAYR_001/WTRAYR_001_ep002_fail.mp4	326394	628e0e164b4b1437976d8dff7ac8b66a407747bc8994a2b173f33ff092a0cd2f
WTRAYR_001	3	failure	assets/dset_wooden_tray7/videos/WTRAYR_001/WTRAYR_001_ep003_fail.mp4	193905	de8d77e81425c71ffb12fd7d8c6632217b96a7ea423e157840c8e424b8ae9ac9
WTRAYR_001	4	failure	assets/dset_wooden_tray7/videos/WTRAYR_001/WTRAYR_001_ep004_fail.mp4	381472	82dc501884c5740935e5184b042fd1e44385878f6144aeb0a3e24fee59b51914
WTRAYR_002	0	failure	assets/dset_wooden_tray7/videos/WTRAYR_002/WTRAYR_002_ep000_fail.mp4	421819	3efff5cbae8a2e31c2ad1829e01123579cad8bdece347303404767e2548abcef
WTRAYR_002	1	failure	assets/dset_wooden_tray7/videos/WTRAYR_002/WTRAYR_002_ep001_fail.mp4	396506	7c75649e1d1efb6d60c44e7e3039aac041437f5a564db19820acc73c46539545
WTRAYR_002	2	failure	assets/dset_wooden_tray7/videos/WTRAYR_002/WTRAYR_002_ep002_fail.mp4	370659	382f6e3864a0923fd4b72e8eeafc25ad9d4e036177248ac8bab357a1a4d82ba0
WTRAYR_002	3	failure	assets/dset_wooden_tray7/videos/WTRAYR_002/WTRAYR_002_ep003_fail.mp4	330796	09c50b6c5b0ab5bb44797b2993fe31a24a2fa55f866f76474222b888a9f35401
WTRAYR_002	4	failure	assets/dset_wooden_tray7/videos/WTRAYR_002/WTRAYR_002_ep004_fail.mp4	364499	a273debef97b8c73a39c182bcea33f7ef6787abff7a8504b47eaa3a8f698f486
