task_id	episodes	source_video_count	media	bytes
NAF_010	1,2,4	3	assets/novel_adapt_feedback/success_reels/NAF_010.mp4	781893
NAF_014	2	1	assets/novel_adapt_feedback/success_reels/NAF_014.mp4	163458
NAF_015	0,2,3,4	4	assets/novel_adapt_feedback/success_reels/NAF_015.mp4	770932
NAF_017	0,1,2,3,4	5	assets/novel_adapt_feedback/success_reels/NAF_017.mp4	385882
NAF_035	0,1,2,3,4	5	assets/novel_adapt_feedback/success_reels/NAF_035.mp4	547355
NAF_036	0,1,2,3,4	5	assets/novel_adapt_feedback/success_reels/NAF_036.mp4	558291
NAF_039	1,3	2	assets/novel_adapt_feedback/success_reels/NAF_039.mp4	262842
NAF_042	0,1,2,3,4	5	assets/novel_adapt_feedback/success_reels/NAF_042.mp4	394664
NAF_044	3	1	assets/novel_adapt_feedback/success_reels/NAF_044.mp4	101198
NAF_054	0	1	assets/novel_adapt_feedback/success_reels/NAF_054.mp4	148888
NAF_056	0,2	2	assets/novel_adapt_feedback/success_reels/NAF_056.mp4	374214
