task_id	legacy_task_id	category	category_order	order
Decomposition_001	TDL10_001	Decomposition	1	1
Decomposition_002	TDL10_002	Decomposition	2	2
Decomposition_003	TDL10_003	Decomposition	3	3
Decomposition_004	TDL10_004	Decomposition	4	4
Decomposition_005	TDL10_005	Decomposition	5	5
Decomposition_006	TDL10_006	Decomposition	6	6
Decomposition_007	TDL10_008	Decomposition	7	7
Decomposition_008	TDL10_009	Decomposition	8	8
Decomposition_009	TDL10_010	Decomposition	9	9
Decomposition_010	TDL10_011	Decomposition	10	10
Decomposition_011	TDL10_012	Decomposition	11	11
Decomposition_012	TDL10_013	Decomposition	12	12
Decomposition_013	TDL10_014	Decomposition	13	13
Decomposition_014	TDL10_016	Decomposition	14	14
Decomposition_015	TDC40_001	Decomposition	15	15
Decomposition_016	TDC40_002	Decomposition	16	16
Decomposition_017	TDC40_003	Decomposition	17	17
Decomposition_018	TDC40_004	Decomposition	18	18
Decomposition_019	TDC40_005	Decomposition	19	19
Decomposition_020	TDC40_006	Decomposition	20	20
Adapt_001	ANLGX_002	Adapt	1	21
Adapt_002	ANLGX_003	Adapt	2	22
Adapt_003	ANLGX_017	Adapt	3	23
Adapt_004	ANLGX_022	Adapt	4	24
Adapt_005	ANLGX_023	Adapt	5	25
Adapt_006	ANLGX_089	Adapt	6	26
Adapt_007	ANLGX_134	Adapt	7	27
Adapt_008	ANLGX_147	Adapt	8	28
Adapt_009	ANLGX_178	Adapt	9	29
Adapt_010	OGTS_001	Adapt	10	30
Adapt_011	OGTS_010	Adapt	11	31
Adapt_012	OGDTSL_011	Adapt	12	32
Adapt_013	OGDTSL_046	Adapt	13	33
Adapt_014	NAFR3_001	Adapt	14	47
Adapt_015	NAFR3_002	Adapt	15	48
Adapt_016	DSET_001	Adapt	16	50
Adapt_017	BDRSWAP_001	Adapt	17	51
Adapt_018	ADVCN19_001	Adapt	18	53
Adapt_019	WTRAYR_004	Adapt	19	54
Adapt_020	GRACK_002	Adapt	20	55
Compose_001	VCN8_008	Compose	1	34
Compose_002	VCN9_010	Compose	2	35
Compose_003	VCN10_001	Compose	3	36
Compose_004	VCN19_020	Compose	4	37
Compose_005	VCN21_001	Compose	5	38
Compose_006	COMP2_012	Compose	6	39
Compose_007	COMP2_032	Compose	7	40
Compose_008	COMP2_222	Compose	8	41
Compose_009	COMP2_303	Compose	9	42
Compose_010	COMPOSE_155	Compose	10	43
Compose_011	COMP2_027	Compose	11	44
Compose_012	LBCM_003	Compose	12	45
Compose_013	LBCM_028	Compose	13	46
Compose_014	MKDC_001	Compose	14	49
Compose_015	CTR_103	Compose	15	52
Compose_016	VCN35_004	Compose	16	56
Compose_017	UCOMP_040	Compose	17	57
Compose_018	BDRMIN_002	Compose	18	58
Compose_019	CTR_176	Compose	19	59
Compose_020	CTR_140	Compose	20	60
